Athlete,Position,Dressage,XC obs,XC tim,SJ obs,SJ tim,Score
Boyd MARTIN (USA),8,32.4,0,0,4,0,36.4
Boyd MARTIN (USA),1,28.4,0,0,0,33.2
Boyd MARTIN (USA),7,29.8,0,0,0,29.8
Boyd MARTIN (USA),10,28.4,0,0,0,0,38.4
Doug PAYNE (USA),3,36.4,0,0,0,0,40
Doug PAYNE (USA),9,33.7,0,0,0,0,37.3
Doug PAYNE (USA),3,33.9,0,0,0,0,37.1
Doug PAYNE (USA),6,34.8,0,0,0,0,34.8
Tamra SMITH (USA),3,25.2,0,0,4,0,38.4
Tamra SMITH (USA),2,27.6,0,0,0,0,30
Tamra SMITH (USA),5,31.7,0,0,0,0,54.5
Tamra SMITH (USA),1,29.3,0,,0,0,29.7
Phillip DUTTON (USA),9,34.1,0,,4,0,52.5
Phillip DUTTON (USA),1,36.4,0,0,0,0.4,37.2
Phillip DUTTON (USA),7,35.4,0,0,4,0.4,39.8
Phillip DUTTON (USA),21,40.6,0,,0,0,53.8
William COLEMAN (USA),38,28.1,60,,0,0,109.3
William COLEMAN (USA),7,31.2,0,,4,0.4,35.6
William COLEMAN (USA),2,27,0,,0,0,27
William COLEMAN (USA),7,26.4,0,,0,0,27.2
Elisabeth HALLIDAY (USA),5,27.3,0,,4,0.8,36.5
Elisabeth HALLIDAY (USA),3,26.9,0,,0,0,28.5
Elisabeth HALLIDAY (USA),5,24.5,0,,4,0,40.1
James ALLISTON (USA),20,36.6,20,,0,0.8,64.2
James ALLISTON (USA),1,29.2,0,,0,0,30
James ALLISTON (USA),7,37.5,0,,4,0.8,57.1
James ALLISTON (USA),1,32.9,0,,0,0,33.7
Jennie BRANNIGAN (USA),12,31.1,0,,4,0.8,51.5
Jennie BRANNIGAN (USA),4,32.5,0,,4,0.4,57.3
Jennie BRANNIGAN (USA),12,35.7,0,,4,0.8,42.9
Jennie BRANNIGAN (USA),8,30.1,0,,0,0,41.7